date,tenant,source,sourcetype,sourcetype_official_name,size_in_bytes,count
2022-01-03,adot,endpoint,crowdstrike,CrowdStrike,21434.0,24.0
2022-01-04,adot,endpoint,crowdstrike,CrowdStrike,63632.0,68.0
2022-01-05,adot,endpoint,crowdstrike,CrowdStrike,36880.0,35.0
2022-01-06,adot,endpoint,crowdstrike,CrowdStrike,41329.0,43.0
2022-01-07,adot,endpoint,crowdstrike,CrowdStrike,34666.0,37.0
2022-01-10,adot,endpoint,crowdstrike,CrowdStrike,3989.0,11.0
2022-01-11,adot,endpoint,crowdstrike,CrowdStrike,1799.0,3.0
2022-01-12,adot,endpoint,crowdstrike,CrowdStrike,42322.0,46.0
2022-01-13,adot,endpoint,crowdstrike,CrowdStrike,937.0,2.0
2022-01-14,adot,endpoint,crowdstrike,CrowdStrike,31130.0,42.0
2022-01-15,adot,endpoint,crowdstrike,CrowdStrike,40129.0,39.0
2022-01-18,adot,endpoint,crowdstrike,CrowdStrike,22073.0,19.0
2022-01-19,adot,endpoint,crowdstrike,CrowdStrike,16154.0,14.0
2022-01-20,adot,endpoint,crowdstrike,CrowdStrike,22506.0,34.0
2022-01-21,adot,endpoint,crowdstrike,CrowdStrike,115374.0,95.0
2022-01-24,adot,endpoint,crowdstrike,CrowdStrike,95611.0,91.0
2022-01-25,adot,endpoint,crowdstrike,CrowdStrike,71960.0,75.0
2022-01-26,adot,endpoint,crowdstrike,CrowdStrike,52204.0,54.0
2022-01-27,adot,endpoint,crowdstrike,CrowdStrike,194906.0,177.0
2022-01-28,adot,endpoint,crowdstrike,CrowdStrike,94049.0,76.0
2022-01-31,adot,endpoint,crowdstrike,CrowdStrike,16766.0,14.0
2022-01-01,adot,endpoint,windows,Windows,37967573640.0,31088512.0
2022-01-02,adot,endpoint,windows,Windows,34881056116.0,28463043.0
2022-01-03,adot,endpoint,windows,Windows,41355925737.0,33837666.0
2022-01-04,adot,endpoint,windows,Windows,41620732365.0,34316412.0
2022-01-05,adot,endpoint,windows,Windows,41893809902.0,34523432.0
2022-01-06,adot,endpoint,windows,Windows,43021683099.0,35510647.0
2022-01-07,adot,endpoint,windows,Windows,42731988088.0,35400705.0
2022-01-08,adot,endpoint,windows,Windows,37936060128.0,31342533.0
2022-01-09,adot,endpoint,windows,Windows,30192972125.0,24897272.0
2022-01-10,adot,endpoint,windows,Windows,49092800953.0,40762509.0
2022-01-11,adot,endpoint,windows,Windows,43097477384.0,35656224.0
2022-01-12,adot,endpoint,windows,Windows,42910679881.0,35469762.0
2022-01-13,adot,endpoint,windows,Windows,41734428092.0,34327290.0
2022-01-14,adot,endpoint,windows,Windows,38804158076.0,31905324.0
2022-01-15,adot,endpoint,windows,Windows,34645725683.0,28475585.0
2022-01-16,adot,endpoint,windows,Windows,32928701629.0,27081583.0
2022-01-17,adot,endpoint,windows,Windows,33667096084.0,27528718.0
2022-01-18,adot,endpoint,windows,Windows,39424111271.0,32425587.0
2022-01-19,adot,endpoint,windows,Windows,39501832272.0,32492829.0
2022-01-20,adot,endpoint,windows,Windows,41953895082.0,34483192.0
2022-01-21,adot,endpoint,windows,Windows,42037066680.0,34787424.0
2022-01-22,adot,endpoint,windows,Windows,36385717614.0,29863698.0
2022-01-23,adot,endpoint,windows,Windows,33583039910.0,27560308.0
2022-01-24,adot,endpoint,windows,Windows,40130872248.0,32879609.0
2022-01-25,adot,endpoint,windows,Windows,41479118878.0,34251153.0
2022-01-26,adot,endpoint,windows,Windows,40856353760.0,33728832.0
2022-01-27,adot,endpoint,windows,Windows,41174818237.0,33907650.0
2022-01-28,adot,endpoint,windows,Windows,41635657385.0,34424404.0
2022-01-29,adot,endpoint,windows,Windows,35087206826.0,28801888.0
2022-01-30,adot,endpoint,windows,Windows,33674108557.0,27666602.0
2022-01-31,adot,endpoint,windows,Windows,36879797198.0,30083964.0
2022-01-01,adot,firewall,paloalto,PaloAlto,3921060592.0,93049786.0
2022-01-02,adot,firewall,paloalto,PaloAlto,3794415835.0,90252860.0
2022-01-03,adot,firewall,paloalto,PaloAlto,5615621172.0,126061573.0
2022-01-04,adot,firewall,paloalto,PaloAlto,5710023594.0,126394016.0
2022-01-05,adot,firewall,paloalto,PaloAlto,5844575009.0,130176534.0
2022-01-06,adot,firewall,paloalto,PaloAlto,5868485569.0,130163065.0
2022-01-07,adot,firewall,paloalto,PaloAlto,5349472165.0,119937059.0
2022-01-08,adot,firewall,paloalto,PaloAlto,4225203314.0,96546027.0
2022-01-09,adot,firewall,paloalto,PaloAlto,3705363058.0,88178485.0
2022-01-10,adot,firewall,paloalto,PaloAlto,5519715573.0,123390173.0
2022-01-11,adot,firewall,paloalto,PaloAlto,5714604589.0,128041447.0
2022-01-12,adot,firewall,paloalto,PaloAlto,5908099297.0,131869131.0
2022-01-13,adot,firewall,paloalto,PaloAlto,5819133809.0,129297927.0
2022-01-14,adot,firewall,paloalto,PaloAlto,6012775332.0,137583437.0
2022-01-15,adot,firewall,paloalto,PaloAlto,4397274523.0,100507768.0
2022-01-16,adot,firewall,paloalto,PaloAlto,3775902466.0,89615458.0
2022-01-17,adot,firewall,paloalto,PaloAlto,4471021839.0,101305911.0
2022-01-18,adot,firewall,paloalto,PaloAlto,5831950539.0,128959252.0
2022-01-19,adot,firewall,paloalto,PaloAlto,6157325029.0,136787029.0
2022-01-20,adot,firewall,paloalto,PaloAlto,6109346311.0,136105780.0
2022-01-21,adot,firewall,paloalto,PaloAlto,5793089657.0,128381442.0
2022-01-22,adot,firewall,paloalto,PaloAlto,4301016399.0,97190237.0
2022-01-23,adot,firewall,paloalto,PaloAlto,3785891337.0,89024819.0
2022-01-24,adot,firewall,paloalto,PaloAlto,5670146656.0,125416185.0
2022-01-25,adot,firewall,paloalto,PaloAlto,5897900170.0,130601319.0
2022-01-26,adot,firewall,paloalto,PaloAlto,6007494014.0,134243850.0
2022-01-27,adot,firewall,paloalto,PaloAlto,5878695726.0,131922467.0
2022-01-28,adot,firewall,paloalto,PaloAlto,5530571949.0,125112661.0
2022-01-29,adot,firewall,paloalto,PaloAlto,4290614996.0,97497413.0
2022-01-30,adot,firewall,paloalto,PaloAlto,3653054819.0,86158097.0
2022-01-31,adot,firewall,paloalto,PaloAlto,4665209709.0,104519425.0
2022-01-01,adot,web,forcepoint,ForcePoint,86178.0,395.0
2022-01-02,adot,web,forcepoint,ForcePoint,89755.0,499.0
2022-01-03,adot,web,forcepoint,ForcePoint,85347.0,396.0
2022-01-04,adot,web,forcepoint,ForcePoint,88809.0,395.0
2022-01-05,adot,web,forcepoint,ForcePoint,98563.0,427.0
2022-01-06,adot,web,forcepoint,ForcePoint,92469.0,467.0
2022-01-07,adot,web,forcepoint,ForcePoint,90315.0,583.0
2022-01-08,adot,web,forcepoint,ForcePoint,98858.0,448.0
2022-01-09,adot,web,forcepoint,ForcePoint,95885.0,433.0
2022-01-10,adot,web,forcepoint,ForcePoint,97666.0,413.0
2022-01-11,adot,web,forcepoint,ForcePoint,86700.0,386.0
2022-01-12,adot,web,forcepoint,ForcePoint,91118.0,424.0
2022-01-13,adot,web,forcepoint,ForcePoint,84315.0,389.0
2022-01-14,adot,web,forcepoint,ForcePoint,74848.0,553.0
2022-01-15,adot,web,forcepoint,ForcePoint,85444.0,406.0
2022-01-16,adot,web,forcepoint,ForcePoint,78001.0,366.0
2022-01-17,adot,web,forcepoint,ForcePoint,80661.0,369.0
2022-01-18,adot,web,forcepoint,ForcePoint,76153.0,343.0
2022-01-19,adot,web,forcepoint,ForcePoint,82483.0,379.0
2022-01-20,adot,web,forcepoint,ForcePoint,66296.0,435.0
2022-01-21,adot,web,forcepoint,ForcePoint,84944.0,521.0
2022-01-22,adot,web,forcepoint,ForcePoint,73284.0,320.0
2022-01-23,adot,web,forcepoint,ForcePoint,70900.0,346.0
2022-01-24,adot,web,forcepoint,ForcePoint,25979.0,92.0
2022-01-25,adot,web,forcepoint,ForcePoint,115680.0,603.0
2022-01-26,adot,web,forcepoint,ForcePoint,111500.0,462.0
2022-01-27,adot,web,forcepoint,ForcePoint,104160.0,377.0
2022-01-28,adot,web,forcepoint,ForcePoint,115655.0,620.0
2022-01-29,adot,web,forcepoint,ForcePoint,109891.0,471.0
2022-01-30,adot,web,forcepoint,ForcePoint,105319.0,466.0
2022-01-31,adot,web,forcepoint,ForcePoint,24579.0,81.0
